职位名称：测试工程师, 薪资：10-15K, 公司：易联, 人数：20-99人
职位名称：高级测试工程师, 薪资：17-18K, 公司：京北方, 人数：10000人以上
职位名称：测试工程师, 薪资：11-20K, 公司：世纪金源酒店集团, 人数：10000人以上
职位名称：测试工程师, 薪资：10-15K, 公司：易博, 人数：20-99人
职位名称：测试工程师, 薪资：4-6K, 公司：268教育, 人数：20-99人
职位名称：LTE测试工程师, 薪资：8-13K, 公司：软通动力公司, 人数：10000人以上
职位名称：测试工程师, 薪资：12-24K, 公司：科蓝软件, 人数：1000-9999人
职位名称：软件测试工程师, 薪资：10-14K, 公司：上海微创软件, 人数：1000-9999人
职位名称：测试工程师, 薪资：8-13K·14薪, 公司：天融信, 人数：1000-9999人
职位名称：测试工程师, 薪资：7-12K, 公司：达飞云贷, 人数：10000人以上
职位名称：嵌入式软件测试工程师, 薪资：8-13K, 公司：尚能联创, 人数：1000-9999人
职位名称：高级测试工程师, 薪资：20-35K, 公司：小药药, 人数：100-499人
职位名称：测试工程师, 薪资：8-12K, 公司：青牛软件, 人数：100-499人
职位名称：测试工程师, 薪资：18-25K, 公司：立风科技, 人数：1000-9999人
职位名称：硬件测试工程师, 薪资：4-6K, 公司：喜乐智能, 人数：0-20人
职位名称：测试工程师, 薪资：9-13K, 公司：天汇创业, 人数：10000人以上
职位名称：高级测试工程师, 薪资：20-40K, 公司：蛋壳公寓, 人数：20-99人
职位名称：测试工程师, 薪资：5-6K, 公司：水木中晖, 人数：100-499人
职位名称：测试工程师（密云）, 薪资：10-15K, 公司：软通动力, 人数：1000-9999人
职位名称：测试工程师实习生, 薪资：150-200/天, 公司：花一派, 人数：500-999人
职位名称：APP测试工程师, 薪资：8-12K, 公司：文思海辉技术有限公司, 人数：10000人以上
职位名称：中高级测试工程师, 薪资：14-18K, 公司：AnG, 人数：500-999人
职位名称：高级测试工程师, 薪资：24-28K·14薪, 公司：艺龙, 人数：1000-9999人
职位名称：测试工程师, 薪资：7-8K, 公司：文思海辉, 人数：10000人以上
职位名称：测试工程师, 薪资：14-20K, 公司：奥博杰天, 人数：500-999人
职位名称：游戏高级测试工程师, 薪资：15-20K, 公司：龙旭行, 人数：0-20人
职位名称：硬件测试工程师, 薪资：8-12K, 公司：软通动力, 人数：10000人以上
职位名称：测试工程师, 薪资：8-16K, 公司：火花思维, 人数：1000-9999人
职位名称：web测试工程师, 薪资：13-18K, 公司：柯莱特集团, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-15K, 公司：永安信通, 人数：100-499人
职位名称：测试工程师, 薪资：12-20K, 公司：北京麦田房产, 人数：10000人以上
职位名称：测试工程师, 薪资：7-10K, 公司：燕文物流, 人数：1000-9999人
职位名称：软件测试工程师, 薪资：4-8K, 公司：力控元通, 人数：100-499人
职位名称：软件测试工程师, 薪资：6-10K, 公司：东信北邮, 人数：1000-9999人
职位名称：测试工程师, 薪资：8-16K, 公司：普天技术, 人数：10000人以上
职位名称：测试工程师, 薪资：12-18K, 公司：博彦科技, 人数：1000-9999人
职位名称：移动端测试工程师, 薪资：15-30K, 公司：360, 人数：1000-9999人
职位名称：测试工程师, 薪资：13-20K, 公司：大V店, 人数：500-999人
